iter	Passed	Remaining
209	43212	162560
210	43362	162148
211	43515	161746
212	43689	161426
213	43835	161002
214	43988	160609
215	44140	160215
216	44285	159793
217	44439	159410
218	44616	159110
219	44799	158833
220	44955	158462
221	45174	158313
222	45342	157987
223	45487	157581
224	45642	157214
225	45802	156864
226	45947	156464
227	46144	156243
228	46322	155960
229	46478	155602
230	46628	155227
231	46806	154944
232	46965	154604
233	47121	154253
234	47294	153960
235	47455	153627
236	47597	153235
237	47745	152867
238	47898	152515
239	48068	152217
240	48234	151908
241	48379	151536
242	48538	151208
243	48677	150820
244	48837	150499
245	48996	150175
246	49141	149813
247	49305	149508
248	49453	149153
249	49601	148803
250	49750	148457
251	49896	148105
252	50051	147780
253	50197	147429
254	50339	147070
255	50490	146738
256	50637	146396
257	50807	146120
258	51006	145929
259	51153	145590
260	51303	145260
261	51459	144949
262	51601	144602
263	51742	144252
264	51886	143911
265	52041	143602
266	52361	143750
267	52557	143551
268	52842	143596
269	53052	143439
270	53295	143365
271	53484	143150
272	53712	143035
273	54266	143785
274	54458	143573
275	54705	143503
276	54884	143254
277	55037	142938
278	55228	142723
279	55465	142624
280	55722	142578
281	55992	142561
282	56241	142491
283	56479	142391
284	56688	142218
285	56884	142012
286	57066	141771
287	57244	141520
288	57492	141444
289	57699	141263
290	57936	141158
291	58178	141062
292	58367	140839
293	58536	140567
294	58739	140377
295	58923	140142
296	59089	139864
297	59251	139579
298	59393	139246
299	59554	138961
300	59759	138777
301	59969	138606
302	60301	138713
303	60515	138549
304	60688	138290
305	60838	137981
306	61077	137872
307	61237	137585
308	61384	137271
309	61585	137076
310	61773	136854
311	61974	136661
312	62139	136390
313	62331	136176
314	62497	135907
315	62663	135638
316	62806	135320
317	62971	135051
318	63171	134858
319	63329	134575
320	63471	134259
321	63765	134263
322	63916	133967
323	64067	133670
324	64219	133379
325	64362	133067
326	64505	132758
327	64706	132568
328	64915	132396
329	65162	132299
330	65316	132013
331	65463	131715
332	65601	131399
333	65747	131101
334	65942	130900
335	66168	130760
336	66330	130496
337	66528	130300
338	66687	130031
339	66848	129763
340	67013	129507
341	67145	129186
342	67282	128876
343	67420	128569
344	67555	128256
345	67718	128000
346	67928	127831
347	68085	127561
348	68371	127535
349	68511	127235
350	68653	126940
351	68787	126630
352	68988	126446
353	69159	126205
354	69316	125940
355	69481	125691
356	69642	125433
357	69778	125134
358	69928	124858
359	70105	124631
360	70259	124365
361	70405	124084
362	70562	123823
363	70725	123575
364	70958	123448
365	71133	123219
366	71294	122968
367	71442	122694
368	71601	122440
369	71786	122230
370	71942	121971
371	72167	121831
372	72379	121667
373	72670	121636
374	72841	121402
375	73012	121169
376	73233	121020
377	73398	120777
378	73575	120555
379	73747	120324
380	73926	120106
381	74080	119848
382	74233	119587
383	74374	119309
384	74597	119161
385	74812	119001
386	74976	118760
387	75121	118491
388	75323	118310
389	75603	118251
390	75859	118154
391	76020	117909
392	76225	117732
393	76416	117534
394	76600	117324
395	76878	117258
396	77080	117077
397	77259	116860
398	77417	116611
399	77574	116361
400	77749	116139
401	77904	115888
402	78081	115669
403	78337	115567
404	78662	115566
405	78904	115441
406	79066	115199
407	79296	115057
408	79480	114848
409	79648	114616
410	79791	114348
411	79948	114101
412	80096	113841
413	80236	113572
414	80491	113463
415	80690	113277
416	80888	113088
417	81204	113064
418	81382	112847
419	81581	112659
420	81777	112467
421	81941	112233
422	82157	112067
423	82314	111823
424	82552	111689
425	82718	111456
426	82854	111184
427	82998	110922
428	83192	110729
429	83355	110493
430	83560	110315
431	83746	110110
432	83895	109859
433	84053	109617
434	84205	109369
435	84404	109183
436	84670	109083
437	84863	108888
438	85068	108709
439	85409	108703
440	85609	108516
441	86184	108802
442	86476	108729
443	86690	108558
444	86923	108410
445	87123	108221
446	87301	108003
447	87501	107814
448	87684	107603
449	87833	107352
450	87987	107106
451	88134	106853
452	88279	106597
453	88442	106365
454	88614	106142
455	88757	105886
456	88895	105623
457	89036	105366
458	89170	105100
459	89305	104837
460	89454	104590
461	89591	104329
462	89729	104070
463	89873	103819
464	90023	103575
465	90169	103327
466	90328	103094
467	90493	102868
468	90638	102620
469	90785	102375
470	90989	102193
471	91145	101959
472	91296	101719
473	91435	101466
474	91621	101265
475	91776	101030
476	91932	100798
477	92104	100583
478	92282	100374
479	92434	100137
480	92600	99916
481	92740	99667
482	92939	99482
483	93116	99272
484	93268	99037
485	93413	98795
486	93552	98547
487	93689	98296
488	93833	98055
489	93983	97819
490	94158	97610
491	94392	97461
492	94570	97255
493	94714	97015
494	94859	96775
495	94996	96528
496	95138	96287
497	95281	96046
498	95421	95804
499	95565	95565
500	95707	95325
501	95848	95084
502	96000	94855
503	96179	94652
504	96341	94433
505	96491	94203
506	96641	93973
507	96799	93750
508	96940	93512
509	97093	93285
510	97262	93074
511	97412	92846
512	97552	92608
513	97701	92379
514	97848	92148
515	97988	91911
516	98157	91702
517	98312	91479
518	98539	91324
519	98727	91133
520	98882	90910
521	99049	90700
522	99205	90480
523	99347	90246
524	99546	90066
525	99847	89976
526	100016	89767
527	100166	89543
528	100324	89324
529	100466	89093
530	100603	88856
531	100780	88656
532	101063	88549
533	101250	88357
534	101397	88130
535	101560	87917
536	101716	87699
537	101881	87489
538	102038	87271
539	102180	87042
540	102323	86813
541	102476	86594
542	102630	86375
543	102772	86147
544	102912	85917
545	103073	85705
546	103224	85485
547	103368	85259
548	103509	85032
549	103662	84814
550	103804	84588
551	103950	84365
552	104178	84209
553	104347	84005
554	104495	83784
555	104644	83565
556	104797	83349
557	104959	83140
558	105100	82914
559	105254	82700
560	105399	82478
561	105546	82258
562	105697	82042
563	105836	81816
564	105975	81591
565	106121	81371
566	106263	81150
567	106444	80957
568	106613	80756
569	106748	80529
570	106894	80310
571	107044	80096
572	107212	79894
573	107365	79682
574	107515	79467
575	107660	79249
576	107795	79025
577	107943	78809
578	108077	78585
579	108217	78364
580	108364	78149
581	108524	77943
582	108659	77720
583	108809	77508
584	108944	77285
585	109075	77060
586	109221	76846
587	109359	76626
588	109501	76409
589	109659	76204
590	109800	75987
591	109938	75768
592	110082	75553
593	110221	75336
594	110357	75117
595	110494	74899
596	110631	74680
597	110794	74480
598	110989	74301
599	111130	74086
600	111270	73871
601	111416	73661
602	111556	73446
603	111705	73237
604	111847	73024
605	112004	72821
606	112162	72618
607	112330	72423
608	112490	72222
609	112660	72028
610	112800	71815
611	112944	71605
612	113090	71396
613	113264	71205
614	113434	71012
615	113602	70816
616	113761	70616
617	113911	70411
618	114060	70205
619	114208	69998
620	114357	69793
621	114495	69581
622	114639	69372
623	114780	69162
624	114923	68953
625	115083	68755
626	115243	68557
627	115385	68349
628	115540	68148
629	115682	67940
630	115835	67738
631	115979	67532
632	116137	67334
633	116273	67123
634	116409	66912
635	116551	66705
636	116705	66505
637	116846	66298
638	116989	66092
639	117143	65893
640	117287	65688
641	117429	65482
642	117574	65278
643	117708	65068
644	117842	64859
645	117992	64658
646	118169	64472
647	118351	64289
648	118525	64102
649	118691	63910
650	118881	63732
651	119061	63547
652	119257	63372
653	119609	63279
654	119867	63136
655	120058	62957
656	120304	62807
657	120436	62597
658	120568	62388
659	120727	62192
660	120905	62007
661	121041	61800
662	121181	61595
663	121311	61386
664	121442	61177
665	121586	60976
666	121722	60770
667	121854	60562
668	122002	60362
669	122134	60155
670	122265	59948
671	122403	59744
672	122534	59537
673	122675	59335
674	122820	59135
675	122973	58939
676	123112	58737
677	123290	58553
678	123462	58367
679	123630	58179
680	123786	57985
681	123951	57795
682	124119	57607
683	124283	57417
684	124453	57230
685	124604	57034
686	124747	56835
687	124901	56641
688	125050	56444
689	125191	56245
690	125341	56049
691	125489	55853
692	125633	55655
693	125788	55462
694	125938	55267
695	126113	55083
696	126269	54891
697	126413	54694
698	126555	54496
699	126704	54302
700	126852	54106
701	126996	53910
702	127147	53716
703	127287	53518
704	127439	53325
705	127599	53136
706	127743	52940
707	127887	52744
708	128027	52547
709	128171	52351
710	128311	52154
711	128477	51968
712	128622	51773
713	128762	51577
714	128898	51378
715	129043	51184
716	129188	50990
717	129333	50796
718	129504	50612
719	129648	50418
720	129799	50227
721	129948	50035
722	130089	49840
723	130230	49646
724	130380	49454
725	130529	49263
726	130669	49068
727	130827	48880
728	131021	48706
729	131170	48514
730	131307	48319
731	131452	48127
732	131606	47938
733	131744	47744
734	131887	47551
735	132094	47381
736	132279	47204
737	132450	47021
738	132634	46843
739	132785	46654
740	132935	46464
741	133084	46274
742	133220	46080
743	133360	45887
744	133501	45695
745	133634	45500
746	133770	45306
747	133917	45116
748	134056	44924
749	134191	44730
750	134326	44537
751	134470	44346
752	134608	44154
753	134745	43962
754	134890	43772
755	135036	43583
756	135190	43396
757	135468	43249
758	135607	43058
759	135747	42867
760	135908	42683
761	136045	42491
762	136201	42306
763	136352	42119
764	136492	41928
765	136644	41742
766	136798	41556
767	136949	41370
768	137097	41182
769	137242	40994
770	137388	40806
771	137548	40623
772	137699	40437
773	137849	40250
774	137995	40063
775	138141	39875
776	138286	39688
777	138432	39501
778	138576	39313
779	138730	39128
780	138878	38942
781	139031	38758
782	139181	38572
783	139369	38397
784	139545	38219
785	139745	38047
786	139890	37861
787	140127	37699
788	140287	37516
789	140440	37332
790	140615	37153
791	140772	36970
792	141021	36811
793	141187	36630
794	141401	36461
795	141560	36279
796	141710	36094
797	141851	35907
798	141997	35721
799	142153	35538
800	142292	35351
801	142441	35166
802	142587	34981
803	142769	34804
804	143033	34647
805	143184	34463
806	143333	34279
807	143475	34093
808	143633	33911
809	143802	33731
810	143993	33557
811	144150	33374
812	144286	33187
813	144496	33017
814	144687	32843
815	144849	32662
816	145001	32478
817	145142	32293
818	145282	32107
819	145432	31924
820	145573	31738
821	145719	31554
822	145866	31370
823	146004	31185
824	146152	31002
825	146300	30818
826	146438	30633
827	146584	30449
828	146722	30264
829	146860	30079
830	146994	29894
831	147137	29710
832	147287	29528
833	147427	29344
834	147578	29162
835	147732	28980
836	147881	28799
837	148025	28615
838	148173	28433
839	148322	28251
840	148480	28071
841	148647	27893
842	148800	27712
843	148964	27533
844	149106	27350
845	149253	27169
846	149396	26986
847	149550	26806
848	149692	26623
849	149840	26442
850	149978	26259
851	150121	26077
852	150266	25895
853	150407	25713
854	150547	25531
855	150702	25351
856	150910	25181
857	151055	24999
858	151206	24819
859	151383	24643
860	151547	24465
861	151689	24284
862	151837	24103
863	151992	23924
864	152136	23743
865	152278	23562
866	152418	23381
867	152556	23199
868	152702	23019
869	152846	22839
870	152996	22659
871	153135	22478
872	153284	22299
873	153452	22122
874	153597	21942
875	153764	21765
876	153931	21589
877	154089	21411
878	154334	21245
879	154481	21065
880	154625	20885
881	154777	20707
882	154915	20526
883	155070	20348
884	155219	20169
885	155369	19991
886	155516	19812
887	155668	19633
888	155813	19454
889	155959	19275
890	156105	19097
891	156247	18917
892	156398	18739
893	156547	18561
894	156688	18382
895	156831	18203
896	156977	18025
897	157121	17846
898	157263	17668
899	157401	17489
900	157537	17309
901	157676	17131
902	157827	16953
903	157975	16776
904	158118	16598
905	158262	16420
906	158404	16242
907	158550	16064
908	158695	15886
909	158835	15709
910	158971	15530
911	159123	15353
912	159273	15177
913	159419	15000
914	159566	14823
915	159739	14648
916	159912	14474
917	160108	14301
918	160260	14125
919	160396	13947
920	160542	13770
921	160696	13594
922	160895	13422
923	161059	13247
924	161213	13071
925	161355	12894
926	161492	12717
927	161634	12540
928	161777	12364
929	161926	12188
930	162074	12011
931	162212	11835
932	162357	11659
933	162494	11482
934	162632	11306
935	162766	11129
936	162909	10953
937	163073	10778
938	163226	10603
939	163375	10428
940	163536	10253
941	163673	10077
942	163814	9901
943	163968	9726
944	164106	9551
945	164251	9375
946	164404	9201
947	164540	9025
948	164685	8850
949	164828	8675
950	164972	8500
951	165107	8324
952	165256	8150
953	165399	7975
954	165535	7800
955	165674	7625
956	165815	7450
957	165952	7275
958	166104	7101
959	166247	6926
960	166388	6752
961	166526	6577
962	166667	6403
963	166821	6229
964	166974	6056
965	167112	5881
966	167250	5707
967	167388	5533
968	167536	5359
969	167697	5186
970	167830	5012
971	167971	4838
972	168111	4664
973	168252	4491
974	168393	4317
975	168534	4144
976	168675	3970
977	168823	3797
978	168979	3624
979	169120	3451
980	169260	3278
981	169397	3105
982	169538	2931
983	169786	2760
984	169967	2588
985	170108	2415
986	170251	2242
987	170386	2069
988	170529	1896
989	170676	1724
990	170888	1551
991	171035	1379
992	171195	1206
993	171340	1034
994	171500	861
995	171644	689
996	171785	516
997	171928	344
998	172111	172
999	172284	0
