iter	Logloss
0	0.6792720772
1	0.6670361735
2	0.656251447
3	0.6475977399
4	0.6383693055
5	0.6304713919
6	0.6227887089
7	0.6171413857
8	0.6108808012
9	0.6058628536
10	0.6011553712
11	0.597074194
12	0.5935199748
13	0.5899586814
14	0.5870943356
15	0.5840898382
16	0.5812884914
17	0.5789321658
18	0.5767617537
19	0.5747410532
20	0.5729939198
21	0.5710581524
22	0.5695455557
23	0.5681039133
24	0.56659712
25	0.5650588375
26	0.5635137755
27	0.5622000832
28	0.5611973143
29	0.5600799779
30	0.5590363508
31	0.5582251436
32	0.5571589982
33	0.5563393241
34	0.5555734612
35	0.554999626
36	0.5543335245
37	0.5536737053
38	0.5530325024
39	0.5525236708
40	0.5519280262
41	0.5513539246
42	0.5509269609
43	0.550518803
44	0.5501699962
45	0.5495481628
46	0.5490300451
47	0.5486175414
48	0.548254185
49	0.5478478177
50	0.5474247174
51	0.5470206047
52	0.546673037
53	0.5464234869
54	0.5459747949
55	0.5455041597
56	0.5451857784
57	0.5448547834
58	0.5445258094
59	0.5442027568
60	0.543935268
61	0.5436291007
62	0.5433346021
63	0.5430047785
64	0.5427595838
65	0.5423423294
66	0.5420753051
67	0.5418309495
68	0.5416148403
69	0.5413900379
70	0.541165786
71	0.5407804273
72	0.5405743207
73	0.5403364589
74	0.5399958086
75	0.5398820637
76	0.5395713264
77	0.5394357016
78	0.5391193537
79	0.5389553937
80	0.5388461482
81	0.5384634444
82	0.5382471532
83	0.5380073449
84	0.5378282633
85	0.5376966069
86	0.5375047492
87	0.5373320824
88	0.5372232252
89	0.5370937029
90	0.5368837922
91	0.5366785721
92	0.5364898984
93	0.5363728148
94	0.5362021409
95	0.5360656861
96	0.5359326751
97	0.5357291889
98	0.5355618345
99	0.5354553914
100	0.5353164124
101	0.5352058927
102	0.5350213832
103	0.5348655952
104	0.5346798692
105	0.5345352243
106	0.5343008396
107	0.5341650114
108	0.5340025827
109	0.5339086261
110	0.533609598
111	0.5334899768
112	0.5332522716
113	0.5331236626
114	0.5329967737
115	0.532727494
116	0.5325928705
117	0.532495429
118	0.5323724306
119	0.5322067112
120	0.5320888133
121	0.5319595401
122	0.5318471171
123	0.5317133118
124	0.5315623187
125	0.5314372968
126	0.5312473632
127	0.5311134972
128	0.5309771564
129	0.5308721146
130	0.5307711708
131	0.5306698713
132	0.5305476628
133	0.530418805
134	0.5303153799
135	0.5302433999
136	0.5300915692
137	0.5299812996
138	0.5298469277
139	0.5297116258
140	0.5295914299
141	0.5294679944
142	0.5293376557
143	0.5292550352
144	0.529126306
145	0.529013694
146	0.5289355759
147	0.5286732478
148	0.5285401419
149	0.52844055
150	0.5282831234
151	0.5281940878
152	0.5279712467
153	0.5278412745
154	0.5275966733
155	0.5274952763
156	0.5272799761
157	0.5271718833
158	0.5270375438
159	0.5269309774
160	0.5268337471
161	0.5267414945
162	0.5266676073
163	0.5265798162
164	0.5263627999
165	0.526265354
166	0.5261380243
167	0.5260411359
168	0.5258868844
169	0.5257870119
170	0.525684679
171	0.5255698998
172	0.5254501019
173	0.5253367837
174	0.5252480928
